t,avg_cAMP,avg_Ca,avg_Ca_ER,avg_ATP,PKA_frac,avg_pSer845,avg_I1P,avg_pSer831,CaMKII_p_frac,min_cAMP,max_cAMP,gradient_index,stimulus,neck_avg_cAMP,head_avg_cAMP,head_neck_ratio
1.860000,0.362213,0.155939,197.764793,1996.421304,0.597193,0.760452,0.180607,0.992555,0.947156,0.005733,1996.423580,5511.717893,1.000000,nan,nan,nan
1.880000,0.361764,0.156488,197.746633,1996.433914,0.596963,0.764398,0.182140,0.992922,0.947985,0.005699,1996.436185,5518.600802,1.000000,nan,nan,nan
1.900000,0.361292,0.157036,197.728595,1996.446690,0.596720,0.768273,0.183660,0.993264,0.948789,0.005665,1996.448956,5525.836826,1.000000,nan,nan,nan
1.920000,0.360800,0.157581,197.710678,1996.459637,0.596465,0.772078,0.185167,0.993585,0.949569,0.005631,1996.461897,5533.419971,1.000000,nan,nan,nan
1.940000,0.360286,0.158125,197.692882,1996.472759,0.596197,0.775815,0.186662,0.993885,0.950327,0.005598,1996.475015,5541.344482,1.000000,nan,nan,nan
1.960000,0.359752,0.158668,197.675206,1996.486064,0.595918,0.779484,0.188144,0.994165,0.951062,0.005564,1996.488314,5549.604831,1.000000,nan,nan,nan
1.980000,0.359199,0.159208,197.657649,1996.499554,0.595626,0.783088,0.189613,0.994427,0.951777,0.005531,1996.501799,5558.195704,1.000000,nan,nan,nan
2.000000,0.358626,0.159746,197.640212,1996.513236,0.595322,0.786626,0.191070,0.994673,0.952471,0.005498,1996.515475,5567.111993,1.000000,nan,nan,nan
2.020000,0.358034,0.160283,197.622894,1996.527114,0.595006,0.790100,0.192514,0.994902,0.953145,0.005465,1996.529346,5576.348784,1.000000,nan,nan,nan
2.040000,0.357424,0.160818,197.605695,1996.541191,0.594679,0.793512,0.193946,0.995117,0.953801,0.005433,1996.543418,5585.901351,1.000000,nan,nan,nan
2.060000,0.356797,0.161351,197.588615,1996.555474,0.594341,0.796862,0.195366,0.995318,0.954439,0.005400,1996.557695,5595.765146,1.000000,nan,nan,nan
2.080000,0.356152,0.161882,197.571652,1996.569965,0.593991,0.800151,0.196773,0.995506,0.955060,0.005368,1996.572180,5605.935792,1.000000,nan,nan,nan
2.100000,0.355491,0.162411,197.554807,1996.584669,0.593630,0.803381,0.198169,0.995682,0.955664,0.005336,1996.586878,5616.409072,1.000000,nan,nan,nan
2.120000,0.354813,0.162939,197.538079,1996.599591,0.593258,0.806552,0.199552,0.995847,0.956252,0.005304,1996.601794,5627.180930,1.000000,nan,nan,nan
2.140000,0.354119,0.163464,197.521468,1996.614733,0.592875,0.809666,0.200923,0.996002,0.956825,0.005273,1996.616930,5638.247453,1.000000,nan,nan,nan
2.160000,0.353410,0.163987,197.504973,1996.630100,0.592482,0.812724,0.202282,0.996147,0.957382,0.005241,1996.632290,5649.604879,1.000000,nan,nan,nan
2.180000,0.352686,0.164508,197.488594,1996.645695,0.592078,0.815726,0.203629,0.996282,0.957926,0.005210,1996.647879,5661.249576,1.000000,nan,nan,nan
2.200000,0.351947,0.165028,197.472330,1996.661522,0.591664,0.818674,0.204965,0.996409,0.958455,0.005179,1996.663699,5673.178055,1.000000,nan,nan,nan
2.220000,0.351194,0.165545,197.456182,1996.677584,0.591239,0.821568,0.206289,0.996528,0.958971,0.005148,1996.679755,5685.386932,1.000000,nan,nan,nan
2.240000,0.350427,0.166060,197.440148,1996.693884,0.590804,0.824410,0.207601,0.996640,0.959475,0.005117,1996.696049,5697.872968,1.000000,nan,nan,nan
2.260000,0.349647,0.166573,197.424228,1996.710426,0.590358,0.827200,0.208901,0.996745,0.959966,0.005087,1996.712584,5710.633032,1.000000,nan,nan,nan
2.280000,0.348854,0.167084,197.408422,1996.727213,0.589903,0.829940,0.210190,0.996843,0.960444,0.005056,1996.729363,5723.664105,1.000000,nan,nan,nan
2.300000,0.348048,0.167593,197.392729,1996.744247,0.589437,0.832630,0.211468,0.996935,0.960912,0.005026,1996.746390,5736.963277,1.000000,nan,nan,nan
2.320000,0.347231,0.168100,197.377149,1996.761531,0.588962,0.835271,0.212734,0.997021,0.961368,0.004996,1996.763668,5750.527738,1.000000,nan,nan,nan
2.340000,0.346401,0.168604,197.361681,1996.779068,0.588477,0.837865,0.213989,0.997102,0.961813,0.004966,1996.781198,5764.354790,1.000000,nan,nan,nan
2.360000,0.345559,0.169106,197.346325,1996.796861,0.587982,0.840411,0.215233,0.997178,0.962247,0.004937,1996.798984,5778.441834,1.000000,nan,nan,nan
2.380000,0.344707,0.169607,197.331080,1996.814912,0.587478,0.842911,0.216465,0.997250,0.962672,0.004907,1996.817028,5792.786349,1.000000,nan,nan,nan
2.400000,0.343843,0.170105,197.315946,1996.833223,0.586964,0.845366,0.217687,0.997317,0.963087,0.004878,1996.835332,5807.385915,1.000000,nan,nan,nan
2.420000,0.342969,0.170600,197.300922,1996.851798,0.586440,0.847776,0.218898,0.997380,0.963492,0.004778,1996.853900,5822.238411,1.000000,nan,nan,nan
2.440000,0.342085,0.171094,197.286008,1996.870638,0.585907,0.850142,0.220097,0.997439,0.963888,0.004679,1996.872732,5837.341385,1.000000,nan,nan,nan
2.460000,0.341191,0.171585,197.271203,1996.889745,0.585365,0.852465,0.221286,0.997495,0.964275,0.004583,1996.891832,5852.692662,1.000000,nan,nan,nan
2.480000,0.340288,0.172074,197.256508,1996.909121,0.584813,0.854746,0.222464,0.997548,0.964653,0.004490,1996.911201,5868.290153,1.000000,nan,nan,nan
2.500000,0.339375,0.172561,197.241920,1996.928769,0.584252,0.856986,0.223631,0.997597,0.965023,0.004400,1996.930841,5884.131857,1.000000,nan,nan,nan
2.520000,0.338453,0.173045,197.227440,1996.948690,0.583682,0.859185,0.224788,0.997643,0.965385,0.004313,1996.950755,5900.215843,1.000000,nan,nan,nan
2.540000,0.337523,0.173528,197.213068,1996.968885,0.583103,0.861344,0.225934,0.997687,0.965739,0.004228,1996.970943,5916.540249,1.000000,nan,nan,nan
2.560000,0.336584,0.174007,197.198802,1996.989358,0.582515,0.863464,0.227069,0.997728,0.966086,0.004146,1996.991409,5933.103287,1.000000,nan,nan,nan
2.580000,0.335637,0.174485,197.184643,1997.010109,0.581918,0.865545,0.228194,0.997767,0.966425,0.004067,1997.012152,5949.903239,1.000000,nan,nan,nan
2.600000,0.334682,0.174960,197.170589,1997.031140,0.581312,0.867589,0.229309,0.997804,0.966757,0.003989,1997.033176,5966.938455,1.000000,nan,nan,nan
2.620000,0.333720,0.175433,197.156640,1997.052452,0.580697,0.869595,0.230414,0.997838,0.967081,0.003915,1997.054480,5984.207341,1.000000,nan,nan,nan
2.640000,0.332751,0.175903,197.142796,1997.074047,0.580073,0.871565,0.231508,0.997871,0.967400,0.003842,1997.076068,6001.708378,1.000000,nan,nan,nan
2.660000,0.331774,0.176371,197.129056,1997.095927,0.579440,0.873500,0.232592,0.997902,0.967711,0.003772,1997.097940,6019.440097,1.000000,nan,nan,nan
2.680000,0.330791,0.176837,197.115419,1997.118091,0.578799,0.875399,0.233666,0.997931,0.968016,0.003703,1997.120097,6037.401098,1.000000,nan,nan,nan
2.700000,0.329801,0.177300,197.101886,1997.140543,0.578148,0.877263,0.234730,0.997958,0.968315,0.003637,1997.142541,6055.590038,1.000000,nan,nan,nan
2.720000,0.328805,0.177761,197.088455,1997.163282,0.577489,0.879094,0.235784,0.997984,0.968608,0.003572,1997.165272,6074.005617,1.000000,nan,nan,nan
2.740000,0.327802,0.178220,197.075125,1997.186310,0.576822,0.880892,0.236828,0.998009,0.968895,0.003510,1997.188292,6092.646615,1.000000,nan,nan,nan
2.760000,0.326794,0.178676,197.061897,1997.209627,0.576146,0.882656,0.237863,0.998032,0.969176,0.003449,1997.211602,6111.511835,1.000000,nan,nan,nan
2.780000,0.325781,0.179129,197.048770,1997.233236,0.575461,0.884389,0.238887,0.998054,0.969452,0.003390,1997.235203,6130.600159,1.000000,nan,nan,nan
2.800000,0.324762,0.179581,197.035743,1997.257136,0.574768,0.886091,0.239902,0.998075,0.969722,0.003333,1997.259095,6149.910510,1.000000,nan,nan,nan
2.820000,0.323738,0.180029,197.022816,1997.281328,0.574066,0.887761,0.240908,0.998095,0.969988,0.003277,1997.283280,6169.441868,1.000000,nan,nan,nan
2.840000,0.322708,0.180476,197.009987,1997.305814,0.573356,0.889401,0.241903,0.998114,0.970248,0.003222,1997.307758,6189.193255,1.000000,nan,nan,nan
2.860000,0.321674,0.180919,196.997258,1997.330593,0.572637,0.891012,0.242890,0.998132,0.970503,0.003170,1997.332530,6209.163739,1.000000,nan,nan,nan
2.880000,0.320636,0.181361,196.984626,1997.355667,0.571910,0.892593,0.243867,0.998149,0.970753,0.003118,1997.357596,6229.352439,1.000000,nan,nan,nan
2.900000,0.319593,0.181800,196.972091,1997.381036,0.571174,0.894145,0.244834,0.998165,0.970998,0.003068,1997.382958,6249.758539,1.000000,nan,nan,nan
2.920000,0.318546,0.182236,196.959653,1997.406701,0.570431,0.895670,0.245792,0.998180,0.971239,0.003020,1997.408615,6270.381201,1.000000,nan,nan,nan
2.940000,0.317495,0.182670,196.947312,1997.432662,0.569678,0.897167,0.246742,0.998195,0.971475,0.002973,1997.434568,6291.219717,1.000000,nan,nan,nan
2.960000,0.316440,0.183101,196.935066,1997.458919,0.568918,0.898636,0.247681,0.998209,0.971707,0.002927,1997.460817,6312.273360,1.000000,nan,nan,nan
2.980000,0.315382,0.183530,196.922915,1997.485473,0.568149,0.900079,0.248612,0.998222,0.971935,0.002882,1997.487364,6333.541472,1.000000,nan,nan,nan
3.000000,0.314320,0.183957,196.910859,1997.512325,0.567372,0.901496,0.249534,0.998235,0.972159,0.002838,1997.514207,6355.023442,1.000000,nan,nan,nan
3.020000,0.313255,0.184381,196.898896,1997.539474,0.566587,0.902887,0.250447,0.998247,0.972378,0.002796,1997.541349,6376.718679,1.000000,nan,nan,nan
3.040000,0.312187,0.184802,196.887027,1997.566921,0.565794,0.904253,0.251351,0.998258,0.972594,0.002754,1997.568788,6398.626645,1.000000,nan,nan,nan
3.060000,0.311115,0.185221,196.875251,1997.594665,0.564992,0.905594,0.252246,0.998269,0.972806,0.002714,1997.596525,6420.746843,1.000000,nan,nan,nan
